Candidate_id,Candidate,Constituency,Party,Age,Gender,Criminal_Cases,Serious_Criminal_Cases,Education,Total_Assets,liabilities,category
51,Ganesh Prakash Hukkeri,CHIKKODI-SADALGA,INC,55,MALE,0,No,Graduate Professional,179712182,23999693,GENERAL
52,Avinash Umesh Jadhav,CHINCHOLI (SC),BJP,34,MALE,0,No,Graduate Professional,27180652,9630394,SC
53,Dr M C Sudhakar,CHINTAMANI,INC,54,MALE,0,No,Post Graduate,655422193,26871536,GENERAL
54,K.C.Veerendra Puppy,CHITRADURGA,INC,48,MALE,2,Yes,Graduate,1348942076,191632592,GENERAL
55,Priyank Kharge,CHITTAPUR (SC),INC,44,MALE,9,No,10th Pass,168310621,2875000,SC
56,S. Muniraju,DASARAHALLI,BJP,64,MALE,0,No,10th Pass,283646819,81460115,GENERAL
57,S.S.Mallikarjun,DAVANAGERE NORTH,INC,55,MALE,1,No,Graduate,1892037646,245804947,GENERAL
58,Shamanur Shivashankarappa,DAVANAGERE SOUTH,INC,91,MALE,1,Yes,12th Pass,3127529622,177404944,GENERAL
59,Karemma,DEVADURGA (ST),JD(S),50,FEMALE,7,Yes,12th Pass,9874000,2159000,ST
60,K.H.Muniyappa,DEVANAHALLI (SC),INC,75,MALE,1,Yes,Graduate Professional,596309799,277167982,SC
61,Bhimanagouda (Rajugouda) Basanagouda Patil,DEVARA HIPPARGI,JD(S),51,MALE,0,No,Graduate,42065952,19541521,GENERAL
62,Vinay Kulkarni,DHARWAD,INC,56,MALE,7,Yes,12th Pass,190270292,14439729,GENERAL
63,Dheeraj Muniraj,DODDABALLAPUR,BJP,31,MALE,1,Yes,Post Graduate,9761196,4000000,GENERAL
64,H. K. Patil,GADAG,INC,70,MALE,2,No,Graduate Professional,213550457,35305155,GENERAL
65,Dinesh Gundu Rao,GANDHINAGAR,INC,53,MALE,0,No,Graduate Professional,480688573,63151909,GENERAL
66,G Janardhan Reddy,GANGAVATHI,Kalyana Rajya Pragathi Paksha,56,MALE,20,Yes,10th Pass,2465142443,0,GENERAL
67,K H Puttaswamy Gowda,GAURIBIDANUR,IND,69,MALE,0,No,Graduate,12670337391,51006405,GENERAL
68,Jarkiholi Ramesh Laxmanrao,GOKAK,BJP,63,MALE,1,Yes,12th Pass,492745820,434809673,GENERAL
69,Priyakrishna,GOVINDARAJANAGAR,INC,39,MALE,1,No,Post Graduate,11568393089,8819938805,GENERAL
